gene._id,gene.bnumber,gene.name
RDBECOLIGNC00009,b0006,yaaA
RDBECOLIGNC01507,b0007,yaaJ
RDBECOLIGNC01508,b0008,talB
RDBECOLIGNC01466,b0009,mogA
RDBECOLIGNC01467,b0010,satP
RDBECOLIGNC02978,b0011,yaaW
RDBECOLIGNC01464,b0012,mbiA
RDBECOLIGNC04695,b0013,yaaI
RDBECOLIGNC00235,b0014,dnaK
RDBECOLIGNC00234,b0015,dnaJ
RDBECOLIGNC02979,b0016,insL1
RDBECOLIGNC00366,b0018,mokC
RDBECOLIGNC02981,b0021,insB1
RDBECOLIGNC02982,b0022,insA1
RDBECOLIGNC02983,b0024,yaaY
RDBECOLIGNC01066,b0025,ribF
RDBECOLIGNC00485,b0026,ileS
RDBECOLIGNC00540,b0027,lspA
RDBECOLIGNC01067,b0028,fkpB
RDBECOLIGNC01068,b0029,ispH
RDBECOLIGNC01069,b0030,rihC
RDBECOLIGNC01519,b0046,kefF
RDBECOLIGNC00513,b0047,kefC
RDBECOLIGNC01521,b0055,djlA
RDBECOLIGNC02327,b0056,yabP
RDBECOLIGNC02326,b0058,rluA
RDBECOLIGNC01070,b0059,rapA
RDBECOLIGNC01522,b0065,yabI
RDBECOLIGNC01074,b0097,secM
RDBECOLIGNC00924,b0098,secA
RDBECOLIGNC00618,b0099,mutT
RDBECOLIGNC02186,b0101,yacG
RDBECOLIGNC02185,b0102,zapD
RDBECOLIGNC02184,b0103,coaE
RDBECOLIGNC00415,b0104,guaC
RDBECOLIGNC00950,b0120,speD
RDBECOLIGNC00951,b0121,speE
RDBECOLIGNC01076,b0122,yacC
RDBECOLIGNC02191,b0127,yadG
RDBECOLIGNC02192,b0128,yadH
RDBECOLIGNC02193,b0129,yadI
RDBECOLIGNC01685,b0130,yadE
RDBECOLIGNC01683,b0131,panD
RDBECOLIGNC01684,b0132,rpnC
RDBECOLIGNC01682,b0133,panC
RDBECOLIGNC01616,b0134,panB
RDBECOLIGNC02195,b0136,yadK
RDBECOLIGNC02196,b0137,yadL
RDBECOLIGNC02200,b0147,thpR
RDBECOLIGNC02199,b0148,hrpB
RDBECOLIGNC00597,b0149,mrcB
RDBECOLIGNC02201,b0155,clcA
RDBECOLIGNC02203,b0157,yadS
RDBECOLIGNC02204,b0158,btuF
RDBECOLIGNC02206,b0163,yaeH
RDBECOLIGNC02207,b0164,yaeI
RDBECOLIGNC00891,b0169,rpsB
RDBECOLIGNC01021,b0170,tsf
RDBECOLIGNC01492,b0171,pyrH
RDBECOLIGNC00329,b0172,frr
RDBECOLIGNC02366,b0173,dxr
RDBECOLIGNC02988,b0174,ispU
RDBECOLIGNC00135,b0175,cdsA
RDBECOLIGNC02285,b0176,rseP
RDBECOLIGNC02991,b0187,yaeR
RDBECOLIGNC02992,b0188,tilS
RDBECOLIGNC00760,b0194,proS
RDBECOLIGNC01458,b0195,trmO
RDBECOLIGNC01457,b0196,rcsF
RDBECOLIGNC01673,b0200,gmhB
RDBECOLIGNC02462,b0206,aspU
RDBECOLIGNC02995,b0212,gloB
RDBECOLIGNC02996,b0213,yafS
RDBECOLIGNC00850,b0214,rnhA
RDBECOLIGNC00237,b0215,dnaQ
RDBECOLIGNC02997,b0217,yafT
RDBECOLIGNC02998,b0218,yafU
RDBECOLIGNC03003,b0223,yafJ
RDBECOLIGNC03008,b0228,rayT
RDBECOLIGNC03009,b0229,lfhA
RDBECOLIGNC03010,b0230,lafU
RDBECOLIGNC03015,b0235,ykfJ
RDBECOLIGNC01451,b0236,prfH
RDBECOLIGNC01078,b0239,frsA
RDBECOLIGNC01079,b0240,crl
RDBECOLIGNC00758,b0242,proB
RDBECOLIGNC00757,b0243,proA
RDBECOLIGNC03016,b0245,ykfI
RDBECOLIGNC03017,b0246,yafW
RDBECOLIGNC03018,b0247,ykfG
RDBECOLIGNC03019,b0248,yafX
RDBECOLIGNC03020,b0249,ykfF
RDBECOLIGNC03021,b0250,ykfB
RDBECOLIGNC03022,b0251,yafY
RDBECOLIGNC03023,b0252,yafZ
RDBECOLIGNC03024,b0253,ykfA
RDBECOLIGNC03025,b0254,perR
RDBECOLIGNC03027,b0256,insI1
RDBECOLIGNC03028,b0258,ykfC
RDBECOLIGNC03029,b0259,insH1
RDBECOLIGNC03030,b0260,mmuP
RDBECOLIGNC03031,b0261,mmuM
RDBECOLIGNC02210,b0262,afuC
RDBECOLIGNC03032,b0263,afuB
RDBECOLIGNC03033,b0264,insB2
RDBECOLIGNC03034,b0265,insA2
RDBECOLIGNC03037,b0270,yagG
RDBECOLIGNC03038,b0271,yagH
RDBECOLIGNC03040,b0274,insB3
RDBECOLIGNC03041,b0275,insA3
RDBECOLIGNC03042,b0276,yagJ
RDBECOLIGNC03044,b0278,yagL
RDBECOLIGNC03045,b0279,yagM
RDBECOLIGNC03046,b0280,yagN
RDBECOLIGNC03047,b0281,intF
RDBECOLIGNC03048,b0282,yagP
RDBECOLIGNC03049,b0283,paoD
RDBECOLIGNC03050,b0284,paoC
RDBECOLIGNC03051,b0285,paoB
RDBECOLIGNC03052,b0286,paoA
RDBECOLIGNC03054,b0288,ykgJ
RDBECOLIGNC03055,b0289,ecpE
RDBECOLIGNC03056,b0290,ecpD
RDBECOLIGNC03057,b0291,ecpC
RDBECOLIGNC03058,b0292,ecpB
RDBECOLIGNC02052,b0297,eaeH
RDBECOLIGNC03063,b0298,insE1
RDBECOLIGNC03064,b0299,insF1
RDBECOLIGNC03069,b0305,rclR
RDBECOLIGNC03071,b0307,ykgF
RDBECOLIGNC03072,b0308,ykgG
RDBECOLIGNC03075,b0316,yahB
RDBECOLIGNC03076,b0317,yahC
RDBECOLIGNC03077,b0318,yahD
RDBECOLIGNC03078,b0319,yahE
RDBECOLIGNC03079,b0320,yahF
RDBECOLIGNC03080,b0321,yahG
RDBECOLIGNC02633,b0322,yahH
RDBECOLIGNC03081,b0323,yahI
RDBECOLIGNC03082,b0324,yahJ
RDBECOLIGNC03083,b0325,yahK
RDBECOLIGNC03084,b0326,yahL
RDBECOLIGNC03085,b0327,yahM
RDBECOLIGNC03087,b0329,yahO
RDBECOLIGNC03096,b0354,yaiL
RDBECOLIGNC03099,b0358,yaiO
RDBECOLIGNC03100,b0360,insC1
RDBECOLIGNC03101,b0361,insD1
RDBECOLIGNC03103,b0363,yaiP
RDBECOLIGNC03110,b0372,insF2
RDBECOLIGNC03111,b0373,insE2
RDBECOLIGNC03112,b0375,iprA
RDBECOLIGNC00759,b0386,proC
RDBECOLIGNC03116,b0387,yaiI
RDBECOLIGNC02051,b0391,ppnP
RDBECOLIGNC02050,b0393,rdgC
RDBECOLIGNC01260,b0394,mak
RDBECOLIGNC03118,b0402,proY
RDBECOLIGNC01082,b0404,acpH
RDBECOLIGNC00984,b0406,tgt
RDBECOLIGNC01083,b0407,yajC
RDBECOLIGNC00926,b0408,secD
RDBECOLIGNC00928,b0409,secF
RDBECOLIGNC02408,b0412,yajI
RDBECOLIGNC01290,b0413,nrdR
RDBECOLIGNC01291,b0414,ribD
RDBECOLIGNC00695,b0418,pgpA
RDBECOLIGNC03121,b0420,dxs
RDBECOLIGNC00500,b0421,ispA
RDBECOLIGNC01085,b0422,xseB
RDBECOLIGNC03122,b0423,thiI
RDBECOLIGNC02950,b0424,yajL
RDBECOLIGNC03123,b0425,panE
RDBECOLIGNC03124,b0426,yajQ
RDBECOLIGNC03125,b0427,yajR
RDBECOLIGNC02071,b0433,ampG
RDBECOLIGNC02070,b0434,yajG
RDBECOLIGNC00991,b0436,tig
RDBECOLIGNC03127,b0442,ybaV
RDBECOLIGNC03129,b0444,queC
RDBECOLIGNC02426,b0445,ybaE
RDBECOLIGNC03130,b0446,cof
RDBECOLIGNC03132,b0448,mdlA
RDBECOLIGNC01568,b0449,mdlB
RDBECOLIGNC00983,b0452,tesB
RDBECOLIGNC03133,b0453,ybaY
RDBECOLIGNC03134,b0454,ybaZ
RDBECOLIGNC02464,b0455,ffs
RDBECOLIGNC01086,b0456,ybaA
RDBECOLIGNC03136,b0458,ylaC
RDBECOLIGNC02975,b0459,maa
RDBECOLIGNC02385,b0466,ybaM
RDBECOLIGNC00239,b0470,dnaX
RDBECOLIGNC01087,b0471,ybaB
RDBECOLIGNC00824,b0472,recR
RDBECOLIGNC01088,b0476,aes
RDBECOLIGNC01089,b0477,gsk
RDBECOLIGNC03138,b0479,fsr
RDBECOLIGNC01048,b0480,ushA
RDBECOLIGNC02298,b0481,ybaK
RDBECOLIGNC03139,b0482,ybaP
RDBECOLIGNC03140,b0483,ybaQ
RDBECOLIGNC03144,b0487,cueR
RDBECOLIGNC03145,b0488,ybbJ
RDBECOLIGNC03147,b0490,fetA
RDBECOLIGNC03148,b0491,fetB
RDBECOLIGNC03149,b0492,cnoX
RDBECOLIGNC03150,b0493,ybbO
RDBECOLIGNC01495,b0494,tesA
RDBECOLIGNC01598,b0495,ybbA
RDBECOLIGNC03151,b0496,ybbP
RDBECOLIGNC03152,b0499,ylbH
RDBECOLIGNC01704,b0501,ybbD
RDBECOLIGNC03153,b0502,ylbG
RDBECOLIGNC01702,b0503,selU
RDBECOLIGNC03166,b0518,allF
RDBECOLIGNC03168,b0520,allH
RDBECOLIGNC02244,b0521,allK
RDBECOLIGNC02361,b0527,ybcI
RDBECOLIGNC02413,b0528,ybcJ
RDBECOLIGNC00322,b0529,folD
RDBECOLIGNC03172,b0533,sfmH
RDBECOLIGNC02248,b0534,sfmF
RDBECOLIGNC01090,b0535,fimZ
RDBECOLIGNC03174,b0539,exoD
RDBECOLIGNC03175,b0540,insE3
RDBECOLIGNC03176,b0541,insF3
RDBECOLIGNC03177,b0542,renD
RDBECOLIGNC00621,b0543,emrE
RDBECOLIGNC03179,b0545,ybcL
RDBECOLIGNC03180,b0546,ybcM
RDBECOLIGNC03181,b0547,ybcN
RDBECOLIGNC03182,b0548,ninE
RDBECOLIGNC03183,b0549,ybcO
RDBECOLIGNC03184,b0550,rusA
RDBECOLIGNC03185,b0551,quuD
RDBECOLIGNC03186,b0552,insH2
RDBECOLIGNC03187,b0554,essD
RDBECOLIGNC03188,b0555,rrrD
RDBECOLIGNC03189,b0556,rzpD
RDBECOLIGNC01580,b0560,nohD
RDBECOLIGNC03193,b0561,tfaD
RDBECOLIGNC03194,b0562,ybcY
RDBECOLIGNC03195,b0563,tfaX
RDBECOLIGNC02295,b0567,ybcH
RDBECOLIGNC01677,b0568,nfrA
RDBECOLIGNC00699,b0576,pheP
RDBECOLIGNC03203,b0580,ybdJ
RDBECOLIGNC03205,b0582,insL2
RDBECOLIGNC02352,b0599,hcxA
RDBECOLIGNC03214,b0610,rnk
RDBECOLIGNC00846,b0611,rna
RDBECOLIGNC03215,b0612,citT
RDBECOLIGNC02091,b0624,crcB
RDBECOLIGNC01277,b0627,tatE
RDBECOLIGNC01541,b0629,ybeF
RDBECOLIGNC01539,b0630,lipB
RDBECOLIGNC01540,b0631,ybeD
RDBECOLIGNC00195,b0632,dacA
RDBECOLIGNC00844,b0633,rlpA
RDBECOLIGNC00599,b0634,mrdB
RDBECOLIGNC01228,b0636,rlmH
RDBECOLIGNC01229,b0637,rsfS
RDBECOLIGNC03225,b0638,cobC
RDBECOLIGNC01377,b0640,holA
RDBECOLIGNC00845,b0641,lptE
RDBECOLIGNC00524,b0642,leuS
RDBECOLIGNC02395,b0643,ybeL
RDBECOLIGNC03229,b0646,djlB
RDBECOLIGNC03232,b0649,djlC
RDBECOLIGNC03233,b0650,hscC
RDBECOLIGNC00164,b0657,lnt
RDBECOLIGNC03238,b0659,ybeY
RDBECOLIGNC03239,b0660,ybeZ
RDBECOLIGNC03240,b0661,miaB
RDBECOLIGNC03241,b0662,ubiF
RDBECOLIGNC00383,b0680,glnS
RDBECOLIGNC01708,b0686,ybfF
RDBECOLIGNC03244,b0689,ybfP
RDBECOLIGNC01709,b0691,ybfG
RDBECOLIGNC00509,b0694,kdpE
RDBECOLIGNC00508,b0695,kdpD
RDBECOLIGNC00838,b0700,rhsC
RDBECOLIGNC01475,b0702,ybfB
RDBECOLIGNC03245,b0703,ybfO
RDBECOLIGNC03246,b0705,ybfL
RDBECOLIGNC01477,b0706,ybfD
RDBECOLIGNC03247,b0709,dtpD
