gene._id,gene.bnumber,gene.name
RDBECOLIGNC00719,b0241,phoE
RDBECOLIGNC00758,b0242,proB
RDBECOLIGNC00207,b0381,ddlA
RDBECOLIGNC01230,b0382,iraP
RDBECOLIGNC00717,b0383,phoA
RDBECOLIGNC01081,b0398,sbcD
RDBECOLIGNC00718,b0399,phoB
RDBECOLIGNC02075,b0450,glnK
RDBECOLIGNC01750,b0451,amtB
RDBECOLIGNC02280,b0461,tomB
RDBECOLIGNC00665,b0565,ompT
RDBECOLIGNC00288,b0592,fepB
RDBECOLIGNC00255,b0593,entC
RDBECOLIGNC01640,b0755,gpmA
RDBECOLIGNC00379,b0811,glnH
RDBECOLIGNC01380,b0812,dps
RDBECOLIGNC00149,b0827,moeA
RDBECOLIGNC02264,b0828,iaaA
RDBECOLIGNC00663,b0929,ompF
RDBECOLIGNC03392,b1012,rutA
RDBECOLIGNC02175,b1013,rutR
RDBECOLIGNC01671,b1020,phoH
RDBECOLIGNC00638,b1222,narX
RDBECOLIGNC00634,b1223,narK
RDBECOLIGNC01554,b1251,yciI
RDBECOLIGNC01000,b1252,tonB
RDBECOLIGNC03611,b1445,ortT
RDBECOLIGNC03612,b1446,ydcY
RDBECOLIGNC01679,b1496,yddA
RDBECOLIGNC03674,b1547,stfQ
RDBECOLIGNC01579,b1548,nohA
RDBECOLIGNC03675,b1549,ydfO
RDBECOLIGNC03767,b1689,ydiL
RDBECOLIGNC03768,b1690,ydiM
RDBECOLIGNC03795,b1748,astC
RDBECOLIGNC01061,b1749,xthA
RDBECOLIGNC03815,b1777,yeaC
RDBECOLIGNC02252,b1778,msrB
RDBECOLIGNC00360,b1779,gapA
RDBECOLIGNC03884,b1904,yecR
RDBECOLIGNC00911,b1905,ftnA
RDBECOLIGNC00151,b2155,cirA
RDBECOLIGNC01975,b2211,yojI
RDBECOLIGNC00034,b2212,alkB
RDBECOLIGNC00068,b2310,argT
RDBECOLIGNC01032,b2311,ubiX
RDBECOLIGNC04120,b2461,eutP
RDBECOLIGNC04121,b2462,eutS
RDBECOLIGNC04394,b3070,nfeF
RDBECOLIGNC04395,b3071,nfeR
RDBECOLIGNC04396,b3072,aer
RDBECOLIGNC04397,b3073,patA
RDBECOLIGNC02002,b3408,feoA
RDBECOLIGNC02003,b3409,feoB
RDBECOLIGNC04544,b3440,yhhX
RDBECOLIGNC04545,b3441,yhhY
RDBECOLIGNC02127,b3523,yhjE
RDBECOLIGNC01179,b3742,mioC
RDBECOLIGNC00089,b3743,asnC
RDBECOLIGNC00087,b3744,asnA
RDBECOLIGNC00376,b3870,glnA
RDBECOLIGNC01765,b3871,bipA
RDBECOLIGNC01283,b3907,rhaT
RDBECOLIGNC00941,b3908,sodA
RDBECOLIGNC01841,b3999,yjaG
RDBECOLIGNC00459,b4000,hupA
RDBECOLIGNC01842,b4001,yjaH
RDBECOLIGNC00286,b4292,fecR
RDBECOLIGNC00285,b4293,fecI
RDBECOLIGNC04646,b4294,insA7
RDBECOLIGNC04681,b4364,yjjP
RDBECOLIGNC04682,b4365,yjjQ
RDBECOLIGNC04684,b4367,fhuF
RDBECOLIGNC02488,b4368,leuV
RDBECOLIGNC02484,b4369,leuP
RDBECOLIGNC02485,b4370,leuQ
RDBECOLIGNC02867,b4431,rprA
RDBECOLIGNC04737,b4434,azuR
RDBECOLIGNC02875,b4451,ryhB
RDBECOLIGNC02590,b4533,ynfO
RDBECOLIGNC02611,b4567,yjjZ
RDBECOLIGNC02889,b4598,yncL
RDBECOLIGNC02694,b4663,azuC
RDBECOLIGNC02801,b4747,yneP
RDBECOLIGNC02849,b4801,ykiE
