_id,chromosome,strand,chrLeftPosition,chrRightPosition,bs_center,nearest_tss_pos,dist_bp_signed_oriented,dist_bp_abs
ECOLIBS000000001,NC_000913.3,+,97103,97122,97112,96997,115,115
ECOLIBS000000002,NC_000913.3,+,143386,143405,143396,143436,-40,40
ECOLIBS000000003,NC_000913.3,-,154967,154986,154976,155090,114,114
ECOLIBS000000004,NC_000913.3,-,157222,157241,157232,157309,77,77
ECOLIBS000000005,NC_000913.3,+,210007,210026,210016,210068,-52,52
ECOLIBS000000006,NC_000913.3,+,247639,247658,247648,247623,25,25
ECOLIBS000000007,NC_000913.3,-,271268,271287,271278,271148,-130,130
ECOLIBS000000008,NC_000913.3,+,390348,390367,390358,390628,-270,270
ECOLIBS000000009,NC_000913.3,-,390349,390368,390358,390422,64,64
ECOLIBS000000010,NC_000913.3,-,446144,446163,446154,445995,-159,159
ECOLIBS000000011,NC_000913.3,+,477290,477309,477300,477336,-36,36
ECOLIBS000000012,NC_000913.3,-,477291,477310,477300,477747,447,447
ECOLIBS000000013,NC_000913.3,-,590818,590837,590828,590936,108,108
ECOLIBS000000014,NC_000913.3,+,596533,596552,596542,596539,3,3
ECOLIBS000000015,NC_000913.3,+,640960,640979,640970,641169,-199,199
ECOLIBS000000016,NC_000913.3,-,640961,640980,640970,641152,182,182
ECOLIBS000000017,NC_000913.3,+,641030,641049,641040,641169,-129,129
ECOLIBS000000018,NC_000913.3,-,641048,641067,641058,641152,94,94
ECOLIBS000000019,NC_000913.3,+,667922,667941,667932,669245,-1313,1313
ECOLIBS000000020,NC_000913.3,+,679376,679395,679386,679464,-78,78
ECOLIBS000000021,NC_000913.3,+,700333,700352,700342,699991,351,351
ECOLIBS000000022,NC_000913.3,+,752507,752526,752516,752952,-436,436
ECOLIBS000000023,NC_000913.3,+,752563,752582,752572,752952,-380,380
ECOLIBS000000024,NC_000913.3,-,761524,761543,761534,761505,-29,29
ECOLIBS000000025,NC_000913.3,+,764736,764755,764746,764780,-34,34
ECOLIBS000000026,NC_000913.3,+,820914,820933,820924,820682,242,242
